# 仓库最后更新时间: 2026-08-06 07:34:05
公   告,#genre#
CCTV3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV3,http://221.205.207.120:9003/hls/3/index.m3u8$LR•IPV4『线路2』
CCTV3,http://117.161.12.116/live/program/live/cctv38m/8000000/mnf.m3u8$LR•IPV4『线路3』
CCTV3,http://120.224.178.16:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV3,http://111.160.17.2:59901/tsfile/live/0001_3.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路6』
CCTV3,http://123.182.60.29:9002/hls/3/index.m3u8$LR•IPV4『线路7』
CCTV3,http://116.9.204.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
CCTV3,http://171.15.18.199:8180/TV00000000000000000003@HHZT$LR•IPV4『线路9』
CCTV3,http://111.29.9.33:6610/000000001000/1000000001000011218/index.m3u8?channel-id=bestzb&Contentid=1000000001000011218&livemode=1&stbId=3$LR•IPV4『线路10』
CCTV3,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226720/1.m3u8$LR•IPV4『线路11』
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub$LR•IPV4『线路12』
CCTV3,http://112.30.73.119:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路13』
CCTV3,http://112.30.73.119:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路14』
CCTV3,http://112.27.5.218:9901/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路15』
CCTV3,http://113.57.140.161:10081/newlive/live/hls/3/live.m3u8$LR•IPV4『线路16』
CCTV3,http://123.118.55.165:45237/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路17』
CCTV3,http://111.8.224.6:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路18』
CCTV3,http://1.24.39.180:9003/hls/3/index.m3u8$LR•IPV4『线路19』
CCTV3,http://153.0.171.163:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路20』
CCTV3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$LR•IPV4『线路21』
CCTV3,http://bztv.tvbus.cc:8081/cdnlive/cctv3.m3u8$LR•IPV4『线路22』
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8$LR•IPV4『线路23』
CCTV4,http://221.205.207.120:9003/hls/4/index.m3u8$LR•IPV4『线路1』
CCTV4,http://117.161.12.116/live/program/live/cctv4hd8m/8000000/mnf.m3u8$LR•IPV4『线路2』
CCTV4,http://120.224.178.16:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV4,http://111.160.17.2:59901/tsfile/live/0001_4.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV4,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV4,http://123.182.60.29:9002/hls/4/index.m3u8$LR•IPV4『线路6』
CCTV4,http://116.9.204.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路7』
CCTV4,http://171.15.18.199:8180/TV00000000000000000004@HHZT$LR•IPV4『线路8』
CCTV4,http://cfss.cc/cdn/dy/CCTV4...flv$LR•IPV4『线路9』
CCTV4,http://111.29.9.33:6610/000000001000/1000000002000031664/index.m3u8?channel-id=bestzb&Contentid=1000000002000031664&livemode=1&stbId=3$LR•IPV4『线路10』
CCTV4,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226725/1.m3u8$LR•IPV4『线路11』
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub$LR•IPV4『线路12』
CCTV4,http://112.30.73.119:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路13』
CCTV4,http://113.120.243.10:7788/631780421$LR•IPV4『线路14』
CCTV4,http://111.8.224.6:9999/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路15』
CCTV4,http://111.228.4.117:6789/migu720p.php?id=631780421$LR•IPV4『线路16』
CCTV4,http://116.52.173.194:1234/631780421$LR•IPV4『线路17』
CCTV4,http://42.94.210.221:7788/631780421$LR•IPV4『线路18』
CCTV4,http://223.247.25.247:1234/631780421$LR•IPV4『线路19』
CCTV4,http://47.104.178.59:3566/608807419$LR•IPV4『线路20』
CCTV4,http://110.154.192.36:7788/631780421$LR•IPV4『线路21』
CCTV4,http://47.104.178.59:3566/608807416$LR•IPV4『线路22』
CCTV4,http://113.120.243.10:7788/608807416$LR•IPV4『线路23』
CCTV4,http://223.247.25.247:1234/608807419$LR•IPV4『线路24』
CCTV4,http://110.154.192.36:7788/608807416$LR•IPV4『线路25』
CCTV4,http://27.12.12.100:1234/631780421$LR•IPV4『线路26』
CCTV4,http://27.12.12.100:1234/608807416$LR•IPV4『线路27』
CCTV4,http://27.12.12.100:1234/608807419$LR•IPV4『线路28』
CCTV4,http://153.0.171.163:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路29』
CCTV4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$LR•IPV4『线路30』
CCTV4,http://bztv.tvbus.cc:8081/cdnlive/cctv4.m3u8$LR•IPV4『线路31』
CCTV4,http://173.208.212.130:8181/1080p/cctv4.m3u8$LR•IPV4『线路32』
CCTV4,http://113.57.140.161:10081/newlive/live/hls/4/live.m3u8$LR•IPV4『线路33』
CCTV4,http://123.118.55.165:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路34』
CCTV4,http://47.104.178.59:3566/631780421$LR•IPV4『线路35』
CCTV4,http://8.135.27.147:1234/608807416$LR•IPV4『线路36』
CCTV4,http://1.24.39.180:9003/hls/4/index.m3u8$LR•IPV4『线路37』
CCTV5,http://221.7.175.154:8445/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV5,http://221.205.207.120:9003/hls/5/index.m3u8$LR•IPV4『线路2』
CCTV5,http://117.161.12.116/live/program/live/cctv58m/8000000/mnf.m3u8$LR•IPV4『线路3』
CCTV5,http://120.224.178.16:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV5,http://111.160.17.2:59901/tsfile/live/0001_5.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV5,http://124.128.73.58:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路6』
CCTV5,http://123.182.60.29:9002/hls/7/index.m3u8$LR•IPV4『线路7』
CCTV5,http://116.9.204.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
CCTV5,http://171.15.18.199:8180/TV00000000000000000005@HHZT$LR•IPV4『线路9』
CCTV5,http://111.29.9.33:6610/000000001000/1000000001000004794/index.m3u8?channel-id=bestzb&Contentid=1000000001000004794&livemode=1&stbId=3$LR•IPV4『线路10』
CCTV5,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226731/1.m3u8$LR•IPV4『线路11』
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub$LR•IPV4『线路12』
CCTV5,http://112.30.73.119:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路13』
CCTV5,http://112.30.73.119:9901/tsfile/live/1422_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路14』
CCTV5,http://113.120.243.10:7788/641886683$LR•IPV4『线路15』
CCTV5,http://223.247.25.247:1234/641886683$LR•IPV4『线路16』
CCTV5,http://110.154.192.36:7788/641886683$LR•IPV4『线路17』
